iter	Passed	Remaining
412	3491	4962
413	3499	4953
414	3507	4944
415	3516	4937
416	3525	4928
417	3534	4920
418	3541	4910
419	3549	4901
420	3557	4893
421	3566	4885
422	3575	4876
423	3581	4865
424	3589	4856
425	3598	4848
426	3607	4840
427	3615	4831
428	3623	4822
429	3631	4814
430	3640	4805
431	3649	4798
432	3657	4788
433	3665	4780
434	3673	4771
435	3681	4762
436	3689	4752
437	3697	4744
438	3706	4736
439	3717	4731
440	3726	4723
441	3734	4714
442	3741	4704
443	3749	4694
444	3757	4686
445	3765	4677
446	3774	4669
447	3782	4661
448	3790	4651
449	3799	4644
450	3809	4636
451	3817	4627
452	3825	4619
453	3833	4610
454	3841	4601
455	3850	4593
456	3859	4585
457	3867	4576
458	3876	4568
459	3885	4561
460	3894	4553
461	3903	4545
462	3912	4537
463	3919	4527
464	3928	4519
465	3937	4511
466	3945	4503
467	3954	4495
468	3961	4485
469	3969	4476
470	3978	4468
471	3985	4458
472	3995	4451
473	4003	4442
474	4011	4434
475	4019	4424
476	4027	4415
477	4036	4407
478	4043	4398
479	4051	4389
480	4059	4379
481	4068	4371
482	4076	4363
483	4081	4351
484	4090	4343
485	4099	4335
486	4107	4326
487	4115	4317
488	4122	4308
489	4131	4300
490	4138	4289
491	4147	4282
492	4156	4274
493	4165	4266
494	4174	4258
495	4183	4250
496	4191	4241
497	4198	4232
498	4209	4226
499	4217	4217
500	4225	4208
501	4234	4201
502	4245	4194
503	4252	4185
504	4261	4177
505	4269	4168
506	4277	4159
507	4285	4150
508	4293	4141
509	4302	4133
510	4311	4125
511	4318	4116
512	4327	4108
513	4336	4099
514	4344	4091
515	4353	4083
516	4361	4074
517	4368	4064
518	4377	4056
519	4385	4048
520	4393	4039
521	4402	4031
522	4408	4021
523	4417	4013
524	4424	4003
525	4433	3994
526	4441	3986
527	4450	3978
528	4459	3970
529	4468	3962
530	4476	3953
531	4482	3943
532	4491	3935
533	4501	3927
534	4509	3919
535	4516	3910
536	4525	3902
537	4534	3893
538	4541	3884
539	4550	3875
540	4557	3866
541	4566	3858
542	4573	3849
543	4581	3840
544	4592	3833
545	4600	3825
546	4610	3817
547	4618	3809
548	4627	3801
549	4634	3792
550	4644	3784
551	4653	3776
552	4662	3768
553	4671	3760
554	4680	3752
555	4690	3745
556	4698	3736
557	4707	3728
558	4717	3721
559	4725	3713
560	4734	3705
561	4741	3695
562	4750	3687
563	4757	3677
564	4767	3670
565	4775	3661
566	4784	3653
567	4792	3644
568	4800	3636
569	4808	3627
570	4817	3619
571	4824	3610
572	4833	3602
573	4841	3593
574	4850	3584
575	4859	3576
576	4868	3568
577	4877	3560
578	4885	3552
579	4893	3543
580	4901	3534
581	4910	3526
582	4919	3518
583	4927	3509
584	4935	3501
585	4942	3491
586	4950	3483
587	4957	3473
588	4966	3465
589	4974	3456
590	4982	3448
591	4989	3439
592	4996	3429
593	5002	3419
594	5011	3410
595	5018	3401
596	5027	3393
597	5034	3384
598	5043	3376
599	5049	3366
600	5058	3358
601	5065	3348
602	5073	3340
603	5083	3332
604	5091	3324
605	5099	3315
606	5108	3307
607	5116	3298
608	5124	3289
609	5132	3281
610	5141	3273
611	5150	3265
612	5159	3257
613	5166	3248
614	5174	3239
615	5181	3230
616	5190	3221
617	5199	3213
618	5208	3206
619	5215	3196
620	5224	3188
621	5231	3179
622	5238	3169
623	5247	3161
624	5254	3152
625	5263	3144
626	5270	3135
627	5278	3126
628	5285	3117
629	5293	3108
630	5301	3100
631	5309	3091
632	5318	3083
633	5326	3075
634	5334	3066
635	5343	3058
636	5349	3048
637	5357	3039
638	5366	3031
639	5372	3022
640	5380	3013
641	5388	3004
642	5395	2995
643	5403	2987
644	5411	2978
645	5420	2970
646	5428	2962
647	5437	2953
648	5446	2945
649	5452	2936
650	5461	2928
651	5469	2919
652	5477	2910
653	5485	2901
654	5493	2893
655	5501	2884
656	5507	2875
657	5515	2866
658	5523	2858
659	5530	2849
660	5539	2841
661	5548	2832
662	5555	2823
663	5562	2814
664	5569	2805
665	5576	2796
666	5586	2788
667	5594	2780
668	5602	2772
669	5611	2763
670	5618	2754
671	5626	2746
672	5635	2738
673	5644	2729
674	5650	2720
675	5658	2712
676	5666	2703
677	5673	2694
678	5681	2686
679	5689	2677
680	5697	2669
681	5706	2660
682	5714	2652
683	5721	2643
684	5730	2635
685	5738	2626
686	5746	2618
687	5754	2609
688	5763	2601
689	5771	2593
690	5779	2584
691	5786	2575
692	5794	2567
693	5802	2558
694	5811	2550
695	5819	2541
696	5826	2532
697	5833	2524
698	5842	2515
699	5849	2506
700	5857	2498
701	5866	2490
702	5874	2481
703	5883	2473
704	5891	2465
705	5900	2457
706	5909	2449
707	5917	2440
708	5925	2432
709	5933	2423
710	5941	2414
711	5949	2406
712	5957	2397
713	5965	2389
714	5973	2380
715	5981	2372
716	5990	2364
717	5997	2355
718	6006	2347
719	6014	2339
720	6023	2331
721	6032	2322
722	6039	2314
723	6047	2305
724	6055	2296
725	6062	2288
726	6070	2279
727	6078	2271
728	6087	2262
729	6095	2254
730	6102	2245
731	6110	2237
732	6118	2228
733	6126	2220
734	6134	2211
735	6142	2203
736	6150	2194
737	6158	2186
738	6167	2178
739	6176	2170
740	6185	2161
741	6193	2153
742	6202	2145
743	6210	2136
744	6219	2128
745	6227	2120
746	6233	2111
747	6242	2102
748	6250	2094
749	6257	2085
750	6266	2077
751	6274	2069
752	6282	2060
753	6290	2052
754	6298	2044
755	6306	2035
756	6315	2027
757	6323	2018
758	6331	2010
759	6339	2002
760	6348	1993
761	6357	1985
762	6365	1977
763	6372	1968
764	6380	1960
765	6389	1951
766	6397	1943
767	6404	1934
768	6413	1926
769	6422	1918
770	6430	1909
771	6436	1900
772	6442	1892
773	6451	1883
774	6460	1875
775	6467	1866
776	6474	1858
777	6482	1849
778	6490	1841
779	6497	1832
780	6506	1824
781	6515	1816
782	6523	1807
783	6532	1799
784	6540	1791
785	6549	1783
786	6556	1774
787	6564	1766
788	6572	1757
789	6581	1749
790	6589	1741
791	6598	1732
792	6607	1724
793	6614	1716
794	6623	1707
795	6631	1699
796	6640	1691
797	6649	1683
798	6658	1674
799	6666	1666
800	6674	1658
801	6681	1649
802	6690	1641
803	6699	1633
804	6707	1624
805	6715	1616
806	6724	1608
807	6734	1600
808	6742	1591
809	6750	1583
810	6757	1574
811	6765	1566
812	6774	1558
813	6782	1549
814	6789	1541
815	6796	1532
816	6805	1524
817	6810	1515
818	6817	1506
819	6825	1498
820	6832	1489
821	6839	1481
822	6847	1472
823	6855	1464
824	6863	1455
825	6871	1447
826	6880	1439
827	6885	1430
828	6892	1421
829	6900	1413
830	6908	1404
831	6915	1396
832	6923	1387
833	6931	1379
834	6939	1371
835	6948	1363
836	6956	1354
837	6964	1346
838	6972	1337
839	6979	1329
840	6987	1320
841	6996	1312
842	7005	1304
843	7014	1296
844	7023	1288
845	7031	1279
846	7039	1271
847	7047	1263
848	7055	1254
849	7063	1246
850	7071	1238
851	7081	1230
852	7090	1221
853	7098	1213
854	7106	1205
855	7114	1196
856	7122	1188
857	7130	1180
858	7139	1171
859	7147	1163
860	7156	1155
861	7165	1147
862	7172	1138
863	7181	1130
864	7189	1121
865	7196	1113
866	7205	1105
